Post Code;Location Code Name;Group Name;Area;Ops Cntr;Country;Days Serviced;Carrier
0001;PRETORIA CENTRAL                        ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;BEREA PARK                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;CENTRAL                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;CLYDESDALE                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;DEFENCE FORCE AREA                      ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;GEVANGENISTERREIN                       ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;GOEDEHOOP                               ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;MARABASTAD                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;MORELETTA PARK                          ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;MUCKLENEUK                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;PRETORIA                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;PRETORIA CENTRAL                        ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;PRINCE'S PARK                           ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;PRISON AREA                             ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;RAILWAY RESERVE                         ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;RIVERDAL                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;RIVERDALE                               ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SALVOKOP                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SENTRAAL                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SKANSKOP                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SPOORWEGTERREIN                         ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SUNNYSIDE                               ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SUNNYSIDE (PRETORIA)                    ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SUNNYSIDE (Pretoria)                    ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;TREVENNA                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;TSHWANE                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;VERDEDIGINGSTERREIN                     ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;WATLOO                                  ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;ZWAVELDSPOORT                           ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0003;UNISA                                   ;UNISA          ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0004;CITY COUNCIL                            ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0004;PRETORIA CITY COUNCIL                   ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0004;PRETORIA STADSRAAD                      ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0004;STADSRAAD                               ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0005;ALKANTRANT                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0006;ATTERIDGEVILLE                          ;ATTERIDGEVILLE ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0006;SAULSVILLE EXT 6                        ;ATTERIDGEVILLE ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0006;SAULSVILLE UIT 6                        ;ATTERIDGEVILLE ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0007;ARCADIA                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0008;ATTERIDGEVILLE                          ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE EXT                      ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE EXT 16                   ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE EXT 17                   ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE EXT 18                   ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE EXT 2                    ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE EXT 3                    ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE EXT 4                    ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE EXT 6                    ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE EXT 7                    ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;ATTERIDGEVILLE WEST EXT 6               ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;CONCERN                                 ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;KALAFONG HEIGHTS                        ;ATTERIDGEVILLE ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;KALAFONG HOOGTE                         ;ATTERIDGEVILLE ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;LOTUS GARDEN                            ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;LOTUS GARDENS                           ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;LOTUS GARDENS EXT 2                     ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;LOTUS TUIN                              ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;LOTUS TUINE                             ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;LOTUS TUINE UIT 2                       ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;LOTUS TUINE UIT 3                       ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;MATAMELA                                ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;MOFOKENG                                ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;PHOMOLONG                               ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;SAULSVILLE                              ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;SAULSVILLE EXT 3                        ;PRETORIA       ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0008;SAULSVILLE UIT 3                        ;ATTERIDGEVILLE ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0009;BON ACCORD                              ;BON ACCORD     ;PRYR;PRY ;SA  ;SCH 135   ;GHOSE 
0010;CONSTANTIA PARK                         ;DERDEPOORT     ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0010;DERDEPOORT                              ;DERDEPOORT     ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0011;BROOKLYN                                ;BROOKLYN       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0012;TELKOM PLACE                            ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0014;SIMARLO                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0016;COR DELFOS                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0017;DOORNPARK                               ;DOORNPOORT     ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0017;DOORNPOORT                              ;DOORNPOORT     ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0018;DANVILLE                                ;DASPOORT       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0019;DASPOORT                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0020;PERSEQUOR PARK                          ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0020;PERSEQUOR PARK                          ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0021;EERSTERUS                               ;SILVERTON      ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0022;EERSTERUS                               ;EERSTERUS      ;PRYT;PRY ;SA  ;DAILY +1  ;DWPRY 
0022;EERSTERUS EXT                           ;EERSTERUS      ;PRYT;PRY ;SA  ;DAILY +1  ;DWPRY 
0022;EERSTERUS EXT 4                         ;EERSTERUS      ;PRYT;PRY ;SA  ;DAILY +1  ;DWPRY 
0022;EERSTERUS EXT 5                         ;EERSTERUS      ;PRYT;PRY ;SA  ;DAILY +1  ;DWPRY 
0022;EERSTERUS EXT 6                         ;EERSTERUS      ;PRYT;PRY ;SA  ;DAILY +1  ;DWPRY 
0023;ERASMIA                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0024;FOURIESRUS                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0025;SAYLSVILLE                              ;SAYLESVILLE    ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0026;LAEZONIA                                ;PRETORIA       ;PRYR;PRY ;SA  ;DAILY +1  ;DWPRY 
0027;GROENKLOOF                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0028;HATFIELD                                ;HATFIELD       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0029;PHILIP NEL PARK                         ;PRETORIA WEST  ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
0029;PHILIP NEL PARK EXT 5                   ;PRETORIA WEST  ;PRYT;PRY ;SA  ;DAILY +1  ;GHOSE 
